"","sitename","X.x","distances","rank","quartile","dispersion","X.y","site_transect","transect_no","CORAL","OI","MA","MA_noHALI","BCA","CCA","SAND","FCA","RUB","TURF","HALI","BSR"
"1","Aasu",1,17.5510488388157,28,4,"High",1,"Aasu_1",1,23.0769230769231,0.769230769230769,7.69230769230769,2.30769230769231,3.07692307692308,16.9230769230769,0.769230769230769,8.46153846153846,1.53846153846154,37.6923076923077,5.38461538461539,1
"2","Aasu",1,17.5510488388157,28,4,"High",2,"Aasu_2",2,46.1538461538462,2.30769230769231,1.53846153846154,1.53846153846154,2.30769230769231,10.7692307692308,0,7.69230769230769,0,29.2307692307692,0,1.54
"3","Aasu",1,17.5510488388157,28,4,"High",5,"Aasu_5",5,34.6153846153846,0,0,2.30769230769231,0,35.3846153846154,0,19.2307692307692,0,10.7692307692308,0,2.16666666666667
"4","Aasu",1,17.5510488388157,28,4,"High",6,"Aasu_6",6,39.2307692307692,1.53846153846154,0,0,0,31.5384615384615,0,24.6153846153846,0,3.07692307692308,0,2.55555555555555
"5","Aasu",1,17.5510488388157,28,4,"High",3,"Aasu_3",3,35.3846153846154,0,2.30769230769231,0,0,18.4615384615385,0,16.9230769230769,0,26.9230769230769,0,1.2280701754386
"6","Aasu",1,17.5510488388157,28,4,"High",4,"Aasu_4",4,28.4615384615385,1.53846153846154,0,0,0,33.0769230769231,0.769230769230769,21.5384615384615,0,14.6153846153846,0,1.70212765957447
"7","Afono",2,12.2857070214787,16,3,"Med",7,"Afono_1",1,18.4615384615385,0.769230769230769,36.1538461538462,0.769230769230769,13.0769230769231,0,0,25.3846153846154,0,6.15384615384615,35.3846153846154,2.07142857142857
"8","Afono",2,12.2857070214787,16,3,"Med",8,"Afono_2",2,17.6923076923077,0,24.6153846153846,0.769230769230769,10,8.46153846153846,6.92307692307692,20.7692307692308,0,11.5384615384615,23.8461538461538,1.81395348837209
"9","Afono",2,12.2857070214787,16,3,"Med",11,"Afono_5",5,16.1538461538462,0,30.7692307692308,0,18.4615384615385,12.3076923076923,0,20,0,2.30769230769231,30.7692307692308,3.48275862068966
"10","Afono",2,12.2857070214787,16,3,"Med",12,"Afono_6",6,11.5384615384615,0,29.2307692307692,2.30769230769231,21.5384615384615,11.5384615384615,0,22.3076923076923,0,3.84615384615385,26.9230769230769,2.51351351351351
"11","Afono",2,12.2857070214787,16,3,"Med",9,"Afono_3",3,26.1538461538462,1.53846153846154,16.1538461538462,0.769230769230769,10,5.38461538461539,3.84615384615385,28.4615384615385,0,8.46153846153846,15.3846153846154,1.51020408163265
"12","Afono",2,12.2857070214787,16,3,"Med",10,"Afono_4",4,15.2,0,32.8,0,12.8,4.8,0,24.8,0,9.6,32.8,1.90697674418605
"13","Alega",3,11.2462027815081,12,2,"Med",18,"Alega_6",6,3.84615384615385,10.7692307692308,4.61538461538461,1.53846153846154,1.53846153846154,46.1538461538462,0,33.0769230769231,0,0,3.07692307692308,1.57777777777778
"14","Alega",3,11.2462027815081,12,2,"Med",14,"Alega_2",2,7.69230769230769,13.0769230769231,12.3076923076923,12.3076923076923,0,33.0769230769231,0,32.3076923076923,0,1.53846153846154,0,0.883333333333334
"15","Alega",3,11.2462027815081,12,2,"Med",13,"Alega_1",1,13.8461538461538,15.3846153846154,4.61538461538461,4.61538461538461,0,31.5384615384615,0,33.8461538461538,0,0.769230769230769,0,1.15686274509804
"16","Alega",3,11.2462027815081,12,2,"Med",15,"Alega_3",3,8.46153846153846,13.8461538461538,11.5384615384615,6.92307692307692,0,38.4615384615385,0,26.1538461538462,0,1.53846153846154,4.61538461538461,1.48888888888889
"17","Alega",3,11.2462027815081,12,2,"Med",16,"Alega_4",4,23.0769230769231,9.23076923076923,3.84615384615385,3.84615384615385,0.769230769230769,31.5384615384615,3.84615384615385,22.3076923076923,0,4.61538461538461,0,1.8
"18","Alega",3,11.2462027815081,12,2,"Med",17,"Alega_5",5,10.7692307692308,10,10.7692307692308,4.61538461538461,0.769230769230769,26.9230769230769,3.84615384615385,33.8461538461538,0,2.30769230769231,6.15384615384615,1.09433962264151
"19","Alofau",4,15.9477099452539,24,4,"High",19,"Alofau_1",1,8.46153846153846,0,3.07692307692308,2.30769230769231,2.30769230769231,27.6923076923077,0,46.1538461538462,0,12.3076923076923,0.769230769230769,0.645569620253164
"20","Alofau",4,15.9477099452539,24,4,"High",20,"Alofau_2",2,9.23076923076923,0,0,0,1.53846153846154,33.8461538461538,0,46.1538461538462,0,9.23076923076923,0,0.805555555555554
"21","Alofau",4,15.9477099452539,24,4,"High",21,"Alofau_3",3,16.9230769230769,0,6.92307692307692,5.38461538461539,3.84615384615385,6.15384615384615,0,45.3846153846154,0,20.7692307692308,1.53846153846154,0.397849462365591
"22","Alofau",4,15.9477099452539,24,4,"High",22,"Alofau_4",4,5.38461538461539,0,12.3076923076923,11.5384615384615,0.769230769230769,9.23076923076923,1.53846153846154,54.6153846153846,0,16.1538461538462,0.769230769230769,0.196261682242991
"23","Alofau",4,15.9477099452539,24,4,"High",23,"Alofau_5",5,16,0.8,8,6.4,1.6,1.6,0.8,62.4,0,8.8,1.6,0.268041237113402
"24","Alofau",4,15.9477099452539,24,4,"High",24,"Alofau_6",6,20,0,9.23076923076923,3.07692307692308,6.15384615384615,6.92307692307692,0,45.3846153846154,0,12.3076923076923,6.15384615384615,0.645569620253164
"25","Amalau",5,8.8575770606122,4,1,"Low",27,"Amalau_3",3,65.3846153846154,0,2.30769230769231,0,0,13.8461538461538,0,17.6923076923077,0,0.769230769230769,2.30769230769231,4.41666666666666
"26","Amalau",5,8.8575770606122,4,1,"Low",25,"Amalau_1",1,52.3076923076923,3.07692307692308,2.30769230769231,0,0,18.4615384615385,0,20,0,3.84615384615385,2.30769230769231,3.06451612903226
"27","Amalau",5,8.8575770606122,4,1,"Low",29,"Amalau_5",5,54.4,0,1.6,0.8,0,26.4,0,16,0,1.6,0.8,4.43478260869565
"28","Amalau",5,8.8575770606122,4,1,"Low",28,"Amalau_4",4,46.9230769230769,1.53846153846154,0,0,0.769230769230769,17.6923076923077,0,30,0,3.07692307692308,0,1.97674418604651
